"year","areaTotal_ha","areaZone_ha","zone"
1997,681.997597936,681.99759793507,"G4"
1997,40.3785289319,40.3785289318,"G6"
1997,83.6327118402,81.7323241368,"G5"
1997,5412.22039795,3763.33670666519,"G3"
1997,12011.4492094,12011.4492086857,"G4"
1997,694.767477275,694.767477275,"G5"
1997,165.260714611,165.260714611,"G5"
1997,12316.8508795,8484.33380568192,"G3"
1997,1830.51428724,1829.78021048,"G5"
1997,8.79077965903,8.790779659042,"G4"
1997,16.9213618375,16.9213618376,"G8"
1997,12469.8573183,7440.64787446,"G10"
1997,2095.28347576,2014.23023571501,"G3"
1997,454.008727041,454.008727041,"G4"
1997,42.1830239678,42.1830239679,"G8"
1997,166.888779656,166.8887796561,"G8"
1997,142.4011326,142.4011326,"G8"
1997,1057.4093226,1057.4093226,"G5"
1997,1260.99973584,1260.999735845,"G3"
1997,19.5132786111,19.513278611121,"G4"
1997,2291.35987079,2291.3598707901,"G3"
1997,1802.82490964,1802.82490964,"G5"
1997,12.3925550292,12.3925550291,"G7"
1997,1702.30097585,1702.3009758472,"G4"
1997,38458.4252955,34296.3836637641,"G3"
1997,6716.38878818,6716.38878816999,"G3"
1997,12462.350048,6260.874464898,"G3"
1997,5.15560783094,5.15560783094,"G8"
1997,13.7550229732,13.7550229733,"G8"
1997,19.6862269145,19.6862269145345,"G8"
1997,57.7185445814,57.7185445814,"G6"
1997,22.4584984637,22.4584984638,"G6"
1997,1923.02652515,1923.0265251543,"G4"
1997,25026.1087401,13935.3887171225,"G3"
1997,7.22150086131,7.22150086131,"G3"
1997,6343.82182993,6343.82182993113,"G4"
1997,195.344005283,195.344005283,"G5"
1997,9601.86846313,9601.8684631318,"G1"
1997,37.6008032448,37.6008032446,"G8"
1997,13.21217458,13.2121745801,"G4"
1997,29.4754883655,29.4754883656,"G4"
1997,218.899100439,218.899100439,"G8"
1997,68.4025468149,68.4025468151,"G8"
1997,14761.9781109,9702.65533733017,"G1"
1997,41.4342826524,41.4342826523,"G1"
1997,2620.32210897,2620.3221089719,"G4"
1997,1920.10599229,1920.10599229,"G8"
1997,451.391573792,451.3915737921,"G4"
1997,42454.4991315,37739.1884836551,"G4"
1997,6082.44125828,6082.44125828153,"G8"
1997,7342.25111087,7342.251110878,"G8"
1997,2553.83186983,2032.18483795,"G6"
1997,3890.2811908,3890.28119081,"G8"
1997,2118.68872779,2118.68872779,"G8"
1997,933.297057397,933.2970573983,"G6"
1997,4750.40295279,4750.40295279166,"G5"
1997,1874.10819886,1874.10819886961,"G5"
1997,15867.2896887,15867.2896887532,"G4"
1997,17419.2264632,16298.9168796652,"G4"
1997,20463.935894,20463.935894028,"G8"
1997,7858.07816551,7858.0781655113,"G4"
1998,2406.99256732,1258.47330077,"G4"
1998,73.2258070123,73.225807098678,"G3"
1998,595.765314509,595.765314509816,"G3"
1998,260.756966584,260.756966584,"G7"
1998,110.508487547,93.0608764693,"G7"
1998,27.3158154446,27.3158154447,"G8"
1998,3582.61718288,3582.61718288,"G3"
1998,7997.83912342,7997.83912342232,"G1"
1998,780.89984328,780.89984328,"G4"
1998,4998.19481018,2614.98503737,"G4"
1998,5908.98943581,5908.98943580918,"G3"
1998,14654.218369,14654.218369052,"G2"
1998,16108.3086078,15017.6264693418,"G4"
1998,36.8345844453,36.8345844453,"G1"
1998,1408.40923144,1408.4092314404,"G1"
1998,602.833287779,602.833287779,"G10"
1998,37899.587222,37899.5872219722,"G4"
1998,4909.12700261,4909.1270026021,"G1"
1998,1859.01441835,1859.014418346,"G7"
1998,3651.64285982,3638.18323815892,"G6"
1998,818.096304205,818.096304205,"G8"
1998,5259.91523354,5259.915233545,"G6"
1998,15527.2380458,15527.238045848,"G7"
1998,4103.21668757,3679.20481574,"G8"
1998,2771.2520754,2771.25207539749,"G5"
1998,10289.1098733,9272.15054223924,"G5"
1998,55.2868774319,55.2868727925855,"G5"
1998,168.949304896,168.949304896,"G10"
1998,233.034008444,233.0340084439,"G6"
1998,1227.98411052,1227.98411052515,"G6"
1998,199.902468523,199.90246852262,"G6"
1999,53.1143959249,53.1143959249,"G5"
1999,263.517480865,263.5174808647,"G7"
1999,40.5637431997,40.5637431998,"G6"
1999,37.340428076,37.3404280761,"G3"
1999,18.6443128926,18.6443128926,"G6"
1999,101.674711929,101.674711929,"G5"
1999,20.7671378632,20.7671378632,"G10"
1999,26.8076087679,26.8076087678,"G4"
1999,264.776652638,264.776652638,"G3"
1999,16.8280195793,16.8280195792,"G7"
1999,10.0001290554,10.0001290554,"G4"
1999,202.467275543,202.4672755425,"G5"
1999,21.1809388879,21.1809388877,"G8"
1999,4828.62725984,4828.6272598346,"G6"
1999,2392.04981278,2392.0498127703,"G6"
1999,15088.5894116,8181.13234159554,"G9"
1999,575.798717678,560.975080151,"G6"
